DAY,SUSCEPTIBLE,EXPOSED,PRESYMPTOMATIC,SYMPTOMATIC,MILD,SEVERE,ASYMPTOMATIC1,ASYMPTOMATIC2,RECOVERED,DECEASED,HOSPITALIZED,SUSCEPTIBLE_AGE0-9,SUSCEPTIBLE_AGE10-19,SUSCEPTIBLE_AGE20-29,SUSCEPTIBLE_AGE30-39,SUSCEPTIBLE_AGE40-49,SUSCEPTIBLE_AGE50-59,SUSCEPTIBLE_AGE60-69,SUSCEPTIBLE_AGE70+,EXPOSED_AGE0-9,EXPOSED_AGE10-19,EXPOSED_AGE20-29,EXPOSED_AGE30-39,EXPOSED_AGE40-49,EXPOSED_AGE50-59,EXPOSED_AGE60-69,EXPOSED_AGE70+,PRESYMPTOMATIC_AGE0-9,PRESYMPTOMATIC_AGE10-19,PRESYMPTOMATIC_AGE20-29,PRESYMPTOMATIC_AGE30-39,PRESYMPTOMATIC_AGE40-49,PRESYMPTOMATIC_AGE50-59,PRESYMPTOMATIC_AGE60-69,PRESYMPTOMATIC_AGE70+,SYMPTOMATIC_AGE0-9,SYMPTOMATIC_AGE10-19,SYMPTOMATIC_AGE20-29,SYMPTOMATIC_AGE30-39,SYMPTOMATIC_AGE40-49,SYMPTOMATIC_AGE50-59,SYMPTOMATIC_AGE60-69,SYMPTOMATIC_AGE70+,MILD_AGE0-9,MILD_AGE10-19,MILD_AGE20-29,MILD_AGE30-39,MILD_AGE40-49,MILD_AGE50-59,MILD_AGE60-69,MILD_AGE70+,SEVERE_AGE0-9,SEVERE_AGE10-19,SEVERE_AGE20-29,SEVERE_AGE30-39,SEVERE_AGE40-49,SEVERE_AGE50-59,SEVERE_AGE60-69,SEVERE_AGE70+,ASYMPTOMATIC1_AGE0-9,ASYMPTOMATIC1_AGE10-19,ASYMPTOMATIC1_AGE20-29,ASYMPTOMATIC1_AGE30-39,ASYMPTOMATIC1_AGE40-49,ASYMPTOMATIC1_AGE50-59,ASYMPTOMATIC1_AGE60-69,ASYMPTOMATIC1_AGE70+,ASYMPTOMATIC2_AGE0-9,ASYMPTOMATIC2_AGE10-19,ASYMPTOMATIC2_AGE20-29,ASYMPTOMATIC2_AGE30-39,ASYMPTOMATIC2_AGE40-49,ASYMPTOMATIC2_AGE50-59,ASYMPTOMATIC2_AGE60-69,ASYMPTOMATIC2_AGE70+,RECOVERED_AGE0-9,RECOVERED_AGE10-19,RECOVERED_AGE20-29,RECOVERED_AGE30-39,RECOVERED_AGE40-49,RECOVERED_AGE50-59,RECOVERED_AGE60-69,RECOVERED_AGE70+,DECEASED_AGE0-9,DECEASED_AGE10-19,DECEASED_AGE20-29,DECEASED_AGE30-39,DECEASED_AGE40-49,DECEASED_AGE50-59,DECEASED_AGE60-69,DECEASED_AGE70+
1,18699,1,0,0,0,0,0,0,0,0,0,4015,3224,4803,3259,1730,1034,483,151,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,18699,1,0,0,0,0,0,0,0,0,0,4015,3224,4803,3259,1730,1034,483,151,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,18699,0,1,0,0,0,0,0,0,0,0,4015,3224,4803,3259,1730,1034,483,151,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,18696,3,1,0,0,0,0,0,0,0,0,4014,3224,4803,3258,1730,1033,483,151,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,18692,6,1,1,0,0,0,0,0,0,0,4012,3224,4802,3258,1730,1033,482,151,3,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,18686,10,3,1,0,0,0,0,0,0,0,4010,3222,4802,3256,1730,1033,482,151,5,2,0,2,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,18681,14,3,2,0,0,0,0,0,0,0,4010,3221,4800,3254,1730,1033,482,151,4,3,2,4,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,18681,10,5,4,0,0,0,0,0,0,0,4010,3221,4800,3254,1730,1033,482,151,3,1,2,3,0,0,1,0,2,2,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,18676,7,12,4,0,0,1,0,0,0,0,4008,3221,4800,3253,1728,1033,482,151,2,0,1,2,2,0,0,0,4,3,1,3,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,18656,24,13,4,1,0,2,0,0,0,0,4000,3214,4798,3253,1725,1033,482,151,9,7,2,1,5,0,0,0,5,1,2,4,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,18632,42,15,6,1,0,4,0,0,0,0,3993,3211,4793,3247,1724,1031,482,151,12,10,6,6,6,2,0,0,7,1,3,3,0,0,1,0,0,1,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,18596,67,21,7,2,0,7,0,0,0,0,3986,3204,4786,3242,1719,1027,481,151,14,15,12,11,8,6,1,0,9,3,3,2,3,0,1,0,0,1,2,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,18555,86,31,10,4,0,14,0,0,0,0,3974,3197,4779,3239,1713,1022,480,151,22,16,14,9,12,11,2,0,10,7,5,5,4,0,0,0,0,1,3,4,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,9,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,18493,111,64,12,4,0,15,1,0,0,0,3959,3186,4761,3230,1708,1019,479,151,28,20,26,14,11,9,3,0,17,14,11,7,10,5,0,0,0,1,3,6,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,10,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,18353,212,83,21,3,0,24,2,2,0,0,3925,3159,4725,3207,1696,1014,479,148,48,40,54,32,22,10,3,3,23,18,16,10,9,7,0,0,0,1,6,8,3,2,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,18,4,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
16,18211,280,128,36,3,0,34,3,5,0,0,3900,3131,4679,3186,1691,1003,475,146,57,51,82,47,18,17,3,5,33,29,27,12,14,9,4,0,0,5,11,8,7,4,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,22,6,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
17,17967,429,173,62,4,0,53,6,6,0,0,3850,3087,4611,3136,1675,992,470,146,89,76,130,76,25,23,7,3,37,36,34,31,17,12,4,2,0,15,18,9,12,6,2,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,33,8,8,3,1,0,0,0,6,0,0,0,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0
18,17651,608,256,82,8,0,75,11,9,0,0,3789,3027,4527,3090,1637,977,460,144,118,115,173,97,54,32,15,4,53,40,71,45,24,14,6,3,0,24,19,16,12,10,1,0,0,0,3,3,1,0,1,0,0,0,0,0,0,0,0,0,46,14,8,5,2,0,0,0,7,2,1,1,0,0,0,0,2,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0
19,17271,756,397,139,10,0,105,8,14,0,0,3712,2948,4434,3031,1599,958,450,139,152,154,199,114,71,38,20,8,78,69,113,72,32,21,8,4,0,30,42,25,23,16,3,0,0,0,3,5,1,0,1,0,0,0,0,0,0,0,0,0,62,19,10,9,4,0,1,0,6,1,0,1,0,0,0,0,5,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0
20,16758,964,578,209,16,0,140,15,20,0,0,3596,2863,4298,2946,1555,921,442,137,212,185,243,147,89,62,22,4,116,101,165,100,49,29,11,7,0,42,69,44,27,19,6,2,0,1,5,4,3,2,1,0,0,0,0,0,0,0,0,0,72,26,20,13,7,0,1,1,11,3,0,1,0,0,0,0,8,3,3,4,1,1,0,0,0,0,0,0,0,0,0,0
21,16014,1351,753,307,28,0,194,24,29,0,0,3463,2743,4108,2794,1481,872,426,127,281,237,330,238,128,93,32,12,145,140,217,129,67,35,12,8,0,52,106,69,38,28,11,3,0,4,10,6,5,2,1,0,0,0,0,0,0,0,0,0,101,39,27,15,9,1,1,1,14,5,2,3,0,0,0,0,11,4,3,5,3,3,0,0,0,0,0,0,0,0,0,0
22,15279,1581,998,443,46,0,268,39,46,0,0,3282,2636,3906,2673,1421,830,412,119,344,256,396,280,150,104,33,18,213,183,272,161,82,60,21,6,0,69,170,102,54,29,13,6,0,12,16,5,7,4,2,0,0,0,0,0,0,0,0,0,137,55,31,27,10,4,2,2,25,5,6,2,1,0,0,0,14,8,6,9,6,3,0,0,0,0,0,0,0,0,0,0
23,14578,1690,1279,616,57,0,352,54,74,0,0,3130,2518,3727,2547,1357,793,390,116,372,269,439,302,152,100,40,16,279,236,321,207,117,78,32,9,0,93,239,138,78,44,16,8,0,19,15,10,6,7,0,0,0,0,0,0,0,0,0,0,179,66,45,38,11,8,3,2,33,12,3,5,1,0,0,0,22,11,14,12,9,4,2,0,0,0,0,0,0,0,0,0
24,13934,1688,1515,787,98,0,500,66,112,0,0,2977,2421,3550,2431,1301,773,372,109,402,269,441,297,139,78,43,19,312,260,382,261,155,96,39,10,0,127,308,179,92,51,21,9,0,19,35,16,15,11,2,0,0,0,0,0,0,0,0,0,251,94,65,49,15,19,3,4,36,14,5,7,3,0,1,0,37,20,17,19,11,6,2,0,0,0,0,0,0,0,0,0
25,13254,1666,1748,985,136,0,649,84,178,0,0,2844,2301,3369,2319,1222,743,352,104,367,280,440,281,160,76,46,16,373,290,447,309,172,104,40,13,0,153,373,226,121,67,33,12,0,23,56,29,15,9,3,1,0,0,0,0,0,0,0,0,340,125,77,58,19,22,4,4,37,19,13,9,5,0,0,1,54,33,28,28,17,13,5,0,0,0,0,0,0,0,0,0
26,12560,1674,1859,1221,205,1,805,113,262,0,0,2691,2185,3191,2205,1154,703,335,96,376,279,435,278,163,80,42,21,400,304,483,334,172,104,48,14,0,196,449,272,161,90,40,13,0,30,81,48,23,16,6,1,0,0,0,0,0,0,0,1,422,156,97,72,26,23,5,4,57,26,13,10,6,1,0,0,69,48,54,40,26,17,7,1,0,0,0,0,0,0,0,0
27,11894,1641,1972,1406,308,1,948,162,368,0,0,2550,2056,3028,2097,1087,666,318,92,360,274,415,273,172,89,41,17,439,356,505,336,170,97,50,19,0,202,497,332,194,115,52,14,0,54,130,64,37,14,7,2,0,0,0,0,0,0,0,1,490,187,129,76,31,27,5,3,84,36,15,18,3,4,1,1,92,59,84,63,37,22,9,2,0,0,0,0,0,0,0,0
28,11238,1638,1988,1574,399,2,1111,208,542,0,0,2409,1951,2866,1980,1021,623,300,88,355,268,416,277,165,101,40,16,439,359,503,329,187,98,53,20,0,227,554,385,210,121,62,15,0,63,155,94,51,28,4,4,0,0,0,0,0,0,0,2,578,218,148,85,43,29,7,3,103,37,26,27,4,8,2,1,131,101,135,82,50,26,15,2,0,0,0,0,0,0,0,0
29,10533,1671,1957,1752,468,2,1226,305,786,0,0,2238,1832,2705,1849,956,590,280,83,383,273,405,293,166,98,41,12,431,326,490,335,194,99,58,24,0,267,615,419,231,135,67,18,0,74,190,101,59,28,11,5,0,0,0,0,0,0,0,2,639,252,159,93,48,25,8,2,153,48,39,33,10,17,2,3,171,152,200,136,67,42,16,2,0,0,0,0,0,0,0,0
30,9834,1655,2040,1838,551,2,1307,411,1062,0,0,2089,1709,2533,1723,889,555,260,76,381,274,387,303,158,92,46,14,428,345,537,351,201,109,46,23,0,286,628,437,249,140,78,20,0,87,209,123,68,40,18,6,0,0,0,0,0,0,0,2,686,257,171,96,57,27,11,2,218,76,48,36,14,13,3,3,213,190,290,190,95,58,21,5,0,0,0,0,0,0,0,0
31,9115,1689,2018,1927,678,2,1349,482,1440,0,1,1952,1574,2334,1590,841,512,242,70,351,308,416,307,146,101,48,12,462,327,509,353,193,107,44,23,0,297,681,461,249,136,78,25,0,109,236,146,97,58,26,6,0,0,0,0,0,0,0,2,702,262,169,106,61,31,14,4,258,90,57,43,19,11,2,2,290,257,401,253,125,78,29,7,0,0,0,0,0,0,0,0
32,8443,1708,2019,1980,753,3,1363,535,1896,0,1,1825,1456,2176,1456,781,470,217,62,333,306,430,333,143,95,52,16,460,332,495,346,196,123,49,18,0,328,694,471,247,132,79,29,0,106,259,189,110,59,26,4,0,0,0,0,0,0,0,3,731,264,153,100,62,32,14,7,271,108,74,46,18,14,2,2,395,324,522,318,174,109,44,10,0,0,0,0,0,0,0,0
33,7794,1660,2019,2034,873,4,1361,623,2332,0,1,1681,1356,2006,1349,713,431,201,57,345,291,415,298,151,97,48,15,442,337,495,360,192,122,55,16,0,324,724,486,259,138,73,30,0,127,312,223,113,57,33,8,0,0,0,0,0,0,0,4,735,270,145,93,59,34,17,8,324,116,82,54,23,18,4,2,488,403,624,396,221,137,52,11,0,0,0,0,0,0,0,0
34,7133,1618,2041,2034,955,4,1339,684,2892,0,1,1527,1239,1832,1247,656,394,185,53,339,268,417,289,147,98,45,15,454,362,500,349,181,122,59,14,0,312,713,499,265,140,74,31,0,166,340,228,117,62,37,5,0,0,0,0,0,0,0,4,732,250,138,93,67,34,16,9,366,136,77,57,24,18,4,2,597,491,786,497,274,166,63,18,0,0,0,0,0,0,0,0
35,6370,1703,2008,2096,955,4,1358,713,3492,1,1,1367,1109,1627,1112,585,355,168,47,360,292,452,289,161,93,39,17,422,346,496,364,183,122,61,14,0,320,748,513,260,151,74,30,0,158,324,234,120,68,45,6,0,0,0,0,0,0,0,4,749,261,134,99,59,35,12,9,393,131,84,50,31,15,8,1,724,607,938,598,332,195,76,22,0,0,0,0,0,0,0,1
36,5635,1793,1985,2056,1050,4,1358,696,4122,1,2,1197,984,1446,1005,510,308,145,40,404,300,466,280,177,105,44,17,400,349,509,377,163,114,58,15,0,313,711,501,272,155,75,29,0,164,382,247,134,72,43,8,0,0,0,0,0,0,0,4,764,263,127,87,59,38,12,8,355,135,84,58,36,17,8,3,895,716,1078,704,380,225,98,26,0,0,0,0,0,0,0,1
